unity_time;FPS
72.000;161.20
72.100;177.27
72.200;185.67
72.300;196.05
72.400;207.80
72.500;204.39
72.600;177.15
72.700;190.86
72.800;191.31
72.900;203.66
73.000;205.20
73.100;211.05
73.200;210.21
73.300;198.44
73.400;199.85
73.500;206.69
73.600;206.04
73.700;205.49
73.800;209.74
73.900;207.05
74.000;207.48
74.100;208.12
74.200;205.51
74.300;196.51
74.400;184.93
74.500;178.03
74.600;177.38
74.700;172.18
74.800;168.74
74.900;175.24
75.000;179.11
75.100;176.21
75.200;177.90
75.300;175.38
75.400;165.04
75.500;168.02
75.600;170.27
75.700;177.71
75.800;184.97
75.900;178.24
76.000;182.09
76.100;177.95
76.200;179.19
76.300;175.18
76.400;176.34
76.500;187.76
76.600;184.45
76.700;182.37
76.800;174.86
76.900;175.68
77.000;176.85
77.100;175.82
77.200;167.84
77.300;189.43
77.400;178.23
77.500;177.55
77.600;180.50
77.700;186.84
77.800;192.72
77.900;186.66
78.000;184.36
78.100;162.14
78.200;130.44
78.300;139.18
78.400;177.59
78.500;192.87
78.600;187.09
78.700;190.94
78.800;197.69
78.900;193.75
79.000;193.01
79.100;194.56
79.200;193.04
79.300;193.14
79.400;181.98
79.500;187.66
79.600;194.38
79.700;200.37
79.800;196.44
79.900;187.96
