Time(s);RTF
76.80;1.01
76.90;0.97
77.00;1.02
77.10;0.98
77.20;1.01
77.30;1.00
77.40;1.01
77.50;0.98
77.60;1.01
77.70;0.99
77.80;1.02
77.90;1.00
78.00;0.98
78.10;1.02
78.20;0.98
78.30;1.02
78.40;1.00
78.50;0.99
78.60;1.01
78.70;1.00
78.80;0.98
78.90;1.02
79.00;0.96
79.10;1.03
79.20;0.98
79.30;1.02
79.40;1.00
79.50;0.99
79.60;1.00
79.70;1.01
79.80;0.99
79.90;1.01
80.00;0.94
80.10;1.05
80.20;0.97
80.30;1.01
80.40;0.99
80.50;1.02
80.60;1.01
80.70;1.01
80.80;0.99
80.90;1.02
81.00;0.90
81.10;1.03
81.20;1.02
81.30;1.04
81.40;0.98
81.50;1.02
81.60;1.00
81.70;0.99
81.80;1.02
81.90;0.99
82.00;0.97
82.10;1.05
82.20;1.00
82.30;1.00
82.40;1.02
82.50;0.96
82.60;1.04
82.70;0.98
82.80;0.90
82.90;1.16
83.00;0.96
83.10;0.94
83.20;1.04
83.30;1.03
83.40;0.99
83.50;1.02
83.60;1.01
83.70;1.01
83.80;1.00
83.90;1.01
84.00;0.98
84.10;1.01
84.20;0.99
84.30;0.99
84.40;0.99
84.50;1.00
84.60;1.00
84.70;1.01
84.80;0.99
84.90;1.04
85.00;0.97
85.10;1.02
85.20;0.99
85.30;0.98
85.40;1.03
85.50;0.99
85.60;1.01
85.70;1.00
85.80;0.99
85.90;1.02
86.00;0.97
86.10;0.99
86.20;1.03
86.30;1.00
86.40;0.99
86.50;1.00
86.60;1.01
86.70;1.00
86.80;0.97
86.90;0.97
87.00;1.00
87.10;0.99
87.20;1.03
87.30;1.02
87.40;1.01
87.50;0.99
87.60;1.01
87.70;1.00
87.80;0.99
87.90;0.89
88.00;1.05
88.10;1.03
88.20;0.96
88.30;1.00
88.40;1.06
88.50;1.00
88.60;0.98
88.70;1.03
88.80;0.94
88.90;1.09
89.00;0.94
89.10;1.05
89.20;1.00
89.30;1.01
89.40;0.93
89.50;1.01
89.60;1.00
89.70;0.99
89.80;0.97
89.90;1.07
90.00;0.94
90.10;1.05
90.20;1.00
90.30;1.02
90.40;0.99
90.50;0.96
90.60;1.03
90.70;0.97
90.80;1.04
90.90;0.97
91.00;0.98
91.10;1.01
91.20;1.00
91.30;1.05
91.40;0.82
91.50;0.93
91.60;1.40
91.70;0.94
91.80;1.07
91.90;0.98
92.00;0.99
92.10;1.03
92.20;0.98
92.30;1.03
92.40;0.98
92.50;0.99
92.60;1.01
92.70;0.99
92.80;0.99
92.90;1.01
93.00;0.97
93.10;1.04
93.20;0.99
93.30;0.99
93.40;1.01
93.50;1.00
93.60;1.01
93.70;0.99
93.80;1.03
93.90;0.98
94.00;1.00
94.10;1.01
94.20;0.98
94.30;0.99
94.40;1.02
94.50;0.96
94.60;1.00
94.70;1.01
94.80;1.01
94.90;0.98
95.00;1.01
95.10;1.01
95.20;0.93
95.30;1.06
95.40;0.96
95.50;1.09
95.60;0.92
95.70;1.07
95.80;0.94
95.90;1.05
96.00;0.98
96.10;1.09
96.20;0.93
96.30;0.97
96.40;1.01
96.50;1.04
96.60;0.95
96.70;1.08
96.80;0.96
96.90;1.03
97.00;0.98
97.10;1.04
97.20;0.98
97.30;0.95
97.40;1.02
97.50;1.09
97.60;0.96
97.70;1.06
97.80;0.99
97.90;1.00
98.00;1.00
98.10;0.99
98.20;1.02
98.30;0.98
98.40;1.01
98.50;0.99
98.60;1.00
98.70;0.98
98.80;1.00
98.90;0.88
99.00;1.07
99.10;1.02
99.20;1.02
99.30;0.96
99.40;0.99
99.50;1.01
99.60;0.97
99.70;1.02
99.80;1.00
99.90;1.05
100.00;0.91
100.10;1.09
100.20;1.00
100.30;1.01
100.40;1.03
100.50;1.04
100.60;0.97
100.70;0.99
100.80;1.00
100.90;1.03
101.00;0.99
101.10;0.93
101.20;1.04
